iter	Logloss
0	0.67899771
1	0.6657777364
2	0.654133547
3	0.6439256685
4	0.6334192247
5	0.6252332602
6	0.6177174972
7	0.6098997587
8	0.603710396
9	0.598178777
10	0.5924642673
11	0.5878425532
12	0.5828443011
13	0.5787522519
14	0.5751505766
15	0.5720362177
16	0.5686016041
17	0.5657129921
18	0.5631610233
19	0.5607405138
20	0.5589883911
21	0.5572921992
22	0.5554519645
23	0.5537120817
24	0.5520736872
25	0.5505865802
26	0.5494444351
27	0.5482397939
28	0.5472429858
29	0.5461723263
30	0.544997692
31	0.5441523573
32	0.5431637015
33	0.5421038038
34	0.5412762993
35	0.5404268239
36	0.5397322451
37	0.5391302783
38	0.5384138159
39	0.5375728778
40	0.5366977956
41	0.5361205591
42	0.5354628463
43	0.5350368836
44	0.5346832742
45	0.5340532682
46	0.5333506182
47	0.5329521544
48	0.5326461515
49	0.5321415749
50	0.5317969295
51	0.5313055574
52	0.5310406759
53	0.5308109672
54	0.5304484271
55	0.5300136944
56	0.5297431545
57	0.5294794022
58	0.5290287255
59	0.5287467185
60	0.5285520605
61	0.5282599751
62	0.5280659505
63	0.5278055653
64	0.527642403
65	0.5274225279
66	0.5272358154
67	0.5269989684
68	0.5265612278
69	0.5264093803
70	0.5260328045
71	0.5257064262
72	0.5253830394
73	0.5252483907
74	0.5250401524
75	0.5248396579
76	0.5247682108
77	0.52463422
78	0.5243521287
79	0.5241721891
80	0.5237936171
81	0.5234462293
82	0.5232367953
83	0.522864477
84	0.5225769554
85	0.522416433
86	0.5220472431
87	0.5216657232
88	0.5214363979
89	0.5213584616
90	0.5211561415
91	0.5210000549
92	0.5209467862
93	0.5207806219
94	0.5206409195
95	0.520399211
96	0.5202719368
97	0.5200569254
98	0.5198857331
99	0.5196953939
100	0.5195733248
101	0.5193222845
102	0.5190914048
103	0.5189972983
104	0.5186335478
105	0.518482375
106	0.518345251
107	0.5182482615
108	0.5181567845
109	0.5179801985
110	0.5178731025
111	0.5176483107
112	0.5175710583
113	0.5174202076
114	0.5172973162
115	0.517071213
116	0.5167676225
117	0.5165806854
118	0.5164778225
119	0.5164191764
120	0.5160716601
121	0.5158735031
