iter	MultiClass
0	1.742891044
1	1.694345787
2	1.644313502
3	1.586983311
4	1.540413242
5	1.494563446
6	1.468622417
7	1.433521549
8	1.403376061
9	1.380893567
10	1.345810578
11	1.318125422
12	1.301231926
13	1.274196169
14	1.258011475
15	1.232509957
16	1.210790148
17	1.194583887
18	1.173074245
19	1.154808609
20	1.135639068
21	1.117763238
22	1.098952227
23	1.084306531
24	1.067583835
25	1.054209778
26	1.042711529
27	1.030391158
28	1.018875041
29	1.014050537
30	1.005892074
31	1.000581736
32	0.9899165619
33	0.9802455071
34	0.9669410145
35	0.9562856357
36	0.9464139175
37	0.9364196341
38	0.92785198
39	0.9199869075
40	0.9092112311
41	0.8962099061
42	0.8896944503
43	0.8812076182
44	0.8701394511
45	0.8625759243
46	0.8540240163
47	0.8472612903
48	0.8405824973
49	0.8331092716
50	0.8253834184
51	0.8183195203
52	0.8140623152
53	0.8079044261
54	0.802908525
55	0.7937619764
56	0.7870407159
57	0.7818348689
58	0.7767116931
59	0.7734096048
60	0.7660543313
61	0.7619360022
62	0.7558521357
63	0.7522430474
64	0.7477543942
65	0.7423163098
66	0.7353875254
67	0.7313924974
68	0.7290576942
69	0.7247340906
70	0.7199390894
71	0.7147750128
72	0.7109959996
73	0.7074983391
74	0.7052092075
75	0.6996707542
76	0.6959015326
77	0.6913100932
78	0.6887810715
79	0.685285548
80	0.6820132677
81	0.6797879793
82	0.6765283049
83	0.6715038212
84	0.6660357987
85	0.660996158
86	0.6569581709
87	0.6522338877
88	0.6478378082
89	0.6446545149
90	0.6407260337
91	0.6374390509
92	0.6334091955
93	0.6298552978
94	0.6270737965
95	0.6232205451
96	0.620355057
97	0.6163018681
98	0.6137068366
99	0.6101459759
100	0.6066298118
101	0.6032585756
102	0.5989237324
103	0.5954514272
104	0.5929549735
105	0.5893097233
106	0.5858973359
107	0.5825691621
108	0.5792291583
109	0.5749575127
110	0.5712166671
111	0.5677321847
112	0.5650058338
113	0.5617499048
114	0.5588586227
115	0.5568902793
116	0.5546182452
117	0.550628071
118	0.5490969595
119	0.5464398007
120	0.5449465753
121	0.5419229833
122	0.5391308453
123	0.5353611934
124	0.5336837334
125	0.5303994416
126	0.5275453509
127	0.5248274606
128	0.5224504304
129	0.519850592
130	0.5182412741
131	0.5153938809
132	0.5127983855
133	0.5102748295
134	0.5066494253
135	0.5042148341
136	0.5013038232
137	0.4988533165
138	0.4968073603
139	0.4943302694
140	0.4920925045
141	0.4903040439
142	0.4884584466
143	0.4868732631
144	0.4842922934
145	0.4820282656
146	0.4802983233
147	0.4780292052
148	0.4769259781
149	0.4754499974
150	0.4737869805
151	0.4712253024
152	0.4701109855
153	0.4680782401
154	0.466003841
155	0.4645839403
156	0.4628162265
157	0.4619202946
158	0.4601978501
159	0.4596536234
160	0.4579347891
161	0.4560620358
162	0.4539832629
163	0.451533206
164	0.4500869428
165	0.4477575746
166	0.4471112888
167	0.4455165071
168	0.4438879791
169	0.4422658726
170	0.4411626132
171	0.439362013
172	0.4365904176
173	0.4356596163
174	0.4331852645
175	0.4317412753
176	0.4299783147
177	0.4279239104
178	0.426469367
179	0.4252109498
180	0.4243861013
181	0.422663878
182	0.4209310188
183	0.4200962161
184	0.4181018541
185	0.4179275521
186	0.4169909142
187	0.416699881
188	0.4159550846
189	0.4145324071
190	0.4133878185
191	0.4107834762
192	0.4092779735
193	0.4084604232
194	0.407367184
195	0.4060719756
196	0.4045942091
197	0.4043601324
198	0.4031928558
199	0.4013679474
200	0.4010059474
201	0.4005730073
202	0.39944476
203	0.3980727183
204	0.3968210378
205	0.3965337646
206	0.394673878
207	0.3928053166
208	0.3923516144
209	0.3916772912
210	0.3911440823
211	0.3906838434
212	0.3888345367
213	0.387366067
214	0.3869031173
215	0.3862181115
216	0.3856958712
217	0.3846176398
218	0.3835017396
219	0.3827562358
220	0.3813425889
221	0.3802740587
222	0.3795143648
223	0.3788414777
224	0.3780906317
225	0.3768031423
226	0.3755733589
227	0.3746283308
228	0.3741860128
229	0.3730228783
230	0.3713288376
231	0.3707891558
232	0.3701441681
233	0.3699821247
234	0.3699059369
235	0.3683955971
236	0.3682431218
237	0.3672283324
238	0.3659941693
239	0.3658085998
240	0.3646954548
241	0.3645132634
242	0.3634892284
243	0.3623762942
244	0.3622467615
245	0.3611927999
246	0.3601905513
247	0.3590449132
248	0.358306542
249	0.3577720208
250	0.3564358511
251	0.3551287625
252	0.3548247236
253	0.3543268331
254	0.3531123649
255	0.3515439283
256	0.350560537
257	0.3499793556
258	0.3493140644
259	0.347962624
260	0.3473716197
261	0.3468173417
262	0.3454719782
263	0.3447422602
264	0.3436990719
265	0.3430145822
266	0.3420543014
267	0.3417091244
268	0.3403038657
269	0.3393100662
270	0.3385394391
271	0.3371193304
272	0.3368384945
273	0.3355475421
274	0.3344441539
275	0.3343029749
276	0.33362911
277	0.3326593962
278	0.3320531761
279	0.3317126809
280	0.331435231
281	0.3305371146
282	0.3299668347
283	0.3299166554
284	0.3290505988
285	0.328445109
286	0.3281904602
287	0.3273786711
288	0.3273015266
289	0.3263321994
290	0.3259692123
291	0.3255366508
292	0.3252430915
293	0.3247476623
294	0.3241082563
295	0.3240324934
296	0.3232384236
297	0.3229250244
298	0.3224243484
299	0.3219286836
300	0.3212838254
301	0.3201623018
302	0.3197407061
303	0.3186684421
304	0.3176225892
305	0.3163683368
306	0.3160631202
307	0.3153855189
308	0.314864269
309	0.3143781633
310	0.3132994605
311	0.3127370585
312	0.311967256
313	0.311592493
314	0.310817304
315	0.3104754465
316	0.3096698147
317	0.308614597
318	0.3076715164
319	0.3069089798
320	0.306790353
321	0.3061676651
322	0.3053371324
323	0.3043273793
324	0.3035019663
325	0.3028283012
326	0.3024779773
327	0.3016873351
328	0.3013643035
329	0.3008532322
330	0.2998080851
331	0.2992016362
332	0.2989688622
333	0.2982103032
334	0.2976880798
335	0.2971299605
336	0.2966469459
337	0.2964718973
338	0.296444869
339	0.2958169474
340	0.2954576113
341	0.2947181165
342	0.2938946046
343	0.2932739955
344	0.2928615048
345	0.2916916565
346	0.2908921453
347	0.2900708865
348	0.2895955634
349	0.2891314168
350	0.2888210009
351	0.2885053348
352	0.2881318887
353	0.2875370258
354	0.2868116548
355	0.2863884095
356	0.2860496964
357	0.2856077695
358	0.2848427003
359	0.2841912862
360	0.283997294
361	0.2835896705
362	0.2828237789
363	0.2826970856
364	0.2825180943
365	0.2820960499
366	0.2818205358
367	0.2813422143
368	0.2810013403
369	0.280564503
370	0.2804899194
371	0.2800369777
372	0.2796683523
373	0.2793475739
374	0.2786327386
375	0.2780297625
376	0.2771875888
377	0.2769747832
378	0.2762678604
379	0.2756348003
380	0.2750331207
381	0.2746168644
382	0.2737757632
383	0.273379613
384	0.2728124008
385	0.2722391134
386	0.2716857042
387	0.2710173121
388	0.270534102
389	0.2702169722
390	0.2698512252
391	0.269360156
392	0.2688720071
393	0.2685822035
394	0.2684906804
395	0.2680808726
396	0.2672226584
397	0.2668496369
398	0.266326055
399	0.2657775271
400	0.2651933704
401	0.2648085481
402	0.2645322147
403	0.2638565094
404	0.2630578186
405	0.2625077606
406	0.2620938658
407	0.2616225652
408	0.261483599
409	0.2611561099
410	0.2610643801
411	0.2606157366
412	0.260320249
413	0.2598737503
414	0.2594742144
415	0.2591522826
416	0.2586369513
417	0.2580490844
418	0.2576429102
419	0.2573420645
420	0.2566019213
421	0.256310452
422	0.2560532177
423	0.25552621
424	0.2549401795
425	0.2544494951
426	0.2543396477
427	0.2539055815
428	0.2537706816
429	0.2534122832
430	0.2533455862
431	0.2530385033
432	0.2526243033
433	0.2522597997
434	0.2519198438
435	0.2514092672
436	0.2508499792
437	0.2504925467
438	0.2504510029
439	0.2501321197
440	0.2497535106
441	0.2496327403
442	0.2492207713
443	0.2487180549
444	0.2479133935
445	0.2476369145
446	0.2473283967
447	0.2470027876
448	0.246470995
449	0.2454042931
450	0.2450286607
451	0.2445107063
452	0.2444744173
453	0.2438816235
454	0.2436834251
455	0.2433447233
456	0.2431468202
457	0.2427297263
458	0.2426887162
459	0.2425719228
460	0.2424011544
461	0.2420439857
462	0.2416275447
463	0.241571802
464	0.2413528997
465	0.2407800058
466	0.2405848928
467	0.2403053124
468	0.2399629257
469	0.2398217421
470	0.2394416795
471	0.2390559593
472	0.2386188838
473	0.2384506519
474	0.2381204882
475	0.2378103759
476	0.2376760442
477	0.2372945236
478	0.2368256755
479	0.2365247408
480	0.2361770271
481	0.2359397812
482	0.2358905184
483	0.2358610851
484	0.2355196003
485	0.2350554079
486	0.2349328236
487	0.23444816
488	0.2341268356
489	0.2338822513
490	0.233725072
491	0.2333838785
492	0.2331032242
493	0.2330363403
494	0.2328033978
495	0.2323618682
496	0.231787614
497	0.2313631557
498	0.2310308608
499	0.2307471664
500	0.2302191523
501	0.2300248133
502	0.2294989087
503	0.2290221694
504	0.228835836
505	0.2283394307
506	0.2280894476
507	0.2278193489
508	0.2275696386
509	0.2275493181
510	0.2272795672
511	0.2271105689
512	0.2266464235
513	0.2261489327
514	0.2257095549
515	0.2256640764
516	0.2249749838
517	0.2248698662
518	0.2247005215
519	0.2242161855
520	0.2240267805
521	0.2237314833
522	0.2235728932
523	0.223396174
524	0.2232551536
525	0.2229412008
526	0.2227381654
527	0.2222025672
528	0.2221831278
529	0.2221484969
530	0.2218397321
531	0.2211798398
532	0.2209796577
533	0.2206459277
534	0.2204201134
535	0.220010524
536	0.2196175482
537	0.2194929896
538	0.2192490721
539	0.2190146299
540	0.2188563019
541	0.2185180039
542	0.2182351307
543	0.2177117207
544	0.2174911191
545	0.2170776722
546	0.2170108025
547	0.2168256304
548	0.2166797889
549	0.2165788841
550	0.2165101683
551	0.2160093391
552	0.215409178
553	0.215320252
554	0.2151600611
555	0.2147253287
556	0.214313733
557	0.2142170788
558	0.2140179809
559	0.2139206061
560	0.2135957644
561	0.2134029309
562	0.2131315254
563	0.2126591072
564	0.2124372149
565	0.21208634
566	0.2117637392
567	0.2116298093
568	0.2116131004
569	0.2110977528
570	0.2109530581
571	0.2104806008
572	0.209999564
573	0.2097307534
574	0.2093696845
575	0.2089619195
576	0.2087695005
577	0.2084693392
578	0.2080490101
579	0.207277845
580	0.2072493487
581	0.2070801719
582	0.2070173104
583	0.2068180894
584	0.2066463699
585	0.2062931144
586	0.2060928521
587	0.2057802839
588	0.2053709392
589	0.2051074166
590	0.2048553274
591	0.2044913309
592	0.2041939578
593	0.2036760882
594	0.203462505
595	0.2032621554
596	0.2030817632
597	0.2029540683
598	0.2028692489
599	0.2024098726
600	0.2019975336
601	0.201773062
602	0.2014405858
603	0.2012760118
604	0.2012613319
605	0.2011124019
606	0.2008697369
607	0.2007249923
608	0.2006751103
609	0.2001575763
610	0.1998054991
611	0.199747466
612	0.1996469038
613	0.1994832244
614	0.1990864459
615	0.1986737213
616	0.1985466573
617	0.1985226662
618	0.1981733539
619	0.1980355361
620	0.1976616717
621	0.1973022925
622	0.1968831971
623	0.1965646513
624	0.196349014
625	0.1962738579
626	0.195947015
627	0.1957035462
628	0.1955598448
629	0.1952614675
630	0.1947845334
631	0.1944387331
632	0.194029939
633	0.1937199266
634	0.1934644026
635	0.1933614349
636	0.1929737477
637	0.1926925075
638	0.1924184672
639	0.1919240162
640	0.1917240487
641	0.1915241085
642	0.1912301817
643	0.1907956013
644	0.1906670247
645	0.1903419718
646	0.189795909
647	0.1896742973
648	0.1891709003
649	0.1889073629
650	0.1888061295
651	0.1885443434
652	0.188176955
653	0.1877933316
654	0.1875251869
655	0.187412688
656	0.1870132415
657	0.1865413493
658	0.1862858755
659	0.1861387362
660	0.1859021989
661	0.1855754515
662	0.1851831755
663	0.1850990939
664	0.1850034502
665	0.1845719856
666	0.184289252
667	0.1840710081
668	0.183894888
669	0.1837269145
670	0.1834697969
671	0.1830407296
672	0.1829163842
673	0.182684892
674	0.1824873382
675	0.1823949065
676	0.1821707781
677	0.1819187055
678	0.1815730844
679	0.181242352
680	0.1811774626
681	0.1809258885
682	0.1807331278
683	0.1805162899
684	0.1801501009
685	0.1798679162
686	0.1798309339
687	0.1795834784
688	0.1792653238
689	0.1791339944
690	0.1789088249
691	0.1788028335
692	0.1785294958
693	0.1784019854
694	0.1781359997
695	0.1781147241
696	0.1780411889
697	0.1778980203
698	0.1776923833
699	0.1773336417
700	0.177135178
701	0.1768235924
702	0.1765706685
703	0.1765414893
704	0.1762331163
705	0.1759136636
706	0.1756252234
707	0.175417978
708	0.1751912795
709	0.1748544633
710	0.1745657857
711	0.1742746773
712	0.1739127664
713	0.1736212831
714	0.1733127413
715	0.1731553928
716	0.1729013196
717	0.1727148771
718	0.1724642271
719	0.1721441444
720	0.1719352412
721	0.1717100675
722	0.1714541897
723	0.1712985339
724	0.1710878481
725	0.1708797909
726	0.1707108605
727	0.1706140799
728	0.1705585021
729	0.1702472434
730	0.1699692316
731	0.1697514386
732	0.1694712556
733	0.169241493
734	0.1689366098
735	0.1688666555
736	0.1688378502
737	0.1686162464
738	0.1685439907
739	0.1683077883
740	0.1680561919
741	0.1677896503
742	0.1676925621
743	0.1672919724
744	0.1669383355
745	0.1667624996
746	0.1665908387
747	0.1665800972
748	0.1665186254
749	0.1661830348
750	0.1660511691
751	0.165729803
752	0.1654574608
753	0.1651897569
754	0.1650276566
755	0.1648202375
756	0.1646390987
757	0.1644810667
758	0.1643964056
759	0.1642810347
760	0.1640283425
761	0.1637323763
762	0.1635537139
763	0.1633705962
764	0.1632379877
765	0.1628290737
766	0.1626821842
767	0.1625022803
768	0.1622735099
769	0.162086918
770	0.1620745402
771	0.1619748563
772	0.1618301398
773	0.1616384543
774	0.161524137
775	0.1614753852
776	0.1614176555
777	0.1613476522
778	0.1612605799
779	0.1610410289
780	0.1609122879
781	0.1607692616
782	0.1606997063
783	0.1604264211
784	0.160226518
785	0.1600270057
786	0.1596949599
787	0.1594606392
788	0.1592755243
789	0.1590074365
790	0.1587391577
791	0.1585402173
792	0.1583022954
793	0.1582487593
794	0.1579499869
795	0.1577272515
796	0.1575105321
797	0.1573971108
798	0.1572260555
799	0.1570368964
800	0.1568113157
801	0.156653867
802	0.1564046035
803	0.1561964882
804	0.1559097141
805	0.155893283
806	0.1556694047
807	0.1555891633
808	0.1554317255
809	0.1552357321
810	0.1550034433
811	0.1546297021
812	0.1543622994
813	0.1543262071
814	0.1542603752
815	0.1540874018
816	0.1539174974
817	0.1537690033
818	0.1537431987
819	0.1535352263
820	0.1533036417
821	0.1531166654
822	0.1530147076
823	0.1528465894
824	0.1525834398
825	0.1524193233
826	0.1523183662
827	0.1522119154
828	0.152185634
829	0.1519983087
830	0.1518148387
831	0.1516067523
832	0.151418949
833	0.151126718
834	0.1508949175
835	0.1505680222
836	0.1502693411
837	0.1500171349
838	0.1497646505
839	0.1496160727
840	0.1494186715
841	0.1492317177
842	0.1489851303
843	0.1488199829
844	0.1485661685
845	0.1484146273
846	0.1481702599
847	0.1479522013
848	0.1477620916
849	0.1476095092
850	0.1473844923
851	0.1473110671
852	0.1471007635
853	0.1469126425
854	0.1468131649
855	0.1467536892
856	0.1465402714
857	0.1463381942
858	0.1463262547
859	0.1462604875
860	0.1462101831
861	0.1460004956
862	0.1456699853
863	0.1455069302
864	0.1453751561
865	0.1452245032
866	0.145005587
867	0.1448149909
868	0.1447140662
869	0.1447021067
870	0.1445418454
871	0.1442040731
872	0.1440239336
