iter	Passed	Remaining
0	164	164665
1	168	84303
2	172	57344
3	176	44010
4	181	36033
5	188	31191
6	192	27306
7	196	24368
8	200	22099
9	206	20416
10	210	18956
11	216	17836
12	221	16837
13	226	15950
14	231	15216
15	236	14522
16	240	13911
17	245	13387
18	250	12954
19	255	12511
20	259	12097
21	264	11736
22	268	11408
23	272	11096
24	278	10879
25	283	10603
26	287	10354
27	291	10114
28	295	9905
29	299	9693
30	304	9506
31	308	9342
32	313	9196
33	318	9042
34	322	8900
35	327	8768
36	331	8630
37	335	8497
38	340	8378
39	345	8280
40	349	8179
41	353	8069
42	358	7970
43	362	7870
44	366	7782
45	372	7715
46	376	7639
47	384	7626
48	391	7589
49	397	7548
50	401	7478
51	408	7438
52	413	7379
53	417	7317
54	422	7258
55	427	7199
56	432	7153
57	439	7134
58	444	7082
59	448	7023
60	452	6966
61	456	6913
62	461	6869
63	465	6813
64	471	6776
65	476	6736
66	480	6695
67	485	6650
68	489	6603
69	493	6561
70	497	6514
71	503	6492
72	508	6462
73	513	6424
74	518	6392
75	522	6356
76	527	6321
77	534	6317
78	542	6326
79	547	6300
80	552	6264
81	557	6240
82	562	6213
83	569	6213
84	574	6188
85	579	6157
86	584	6135
87	588	6102
88	593	6073
89	598	6048
90	603	6024
91	609	6013
92	615	5998
93	620	5979
94	627	5981
95	635	5982
96	640	5962
97	645	5941
98	649	5915
99	654	5893
100	659	5866
101	666	5870
102	689	6003
103	697	6011
104	705	6011
105	711	5997
106	716	5981
107	722	5967
108	729	5964
109	735	5949
110	740	5931
111	747	5923
112	754	5918
113	759	5905
114	765	5890
115	770	5869
116	775	5849
117	779	5828
118	784	5811
119	791	5805
120	798	5801
121	803	5780
122	807	5760
123	812	5739
124	819	5734
125	827	5742
126	835	5744
127	843	5743
128	853	5761
129	862	5771
130	869	5771
131	876	5763
132	887	5783
133	895	5789
134	905	5802
135	914	5810
136	924	5821
137	930	5809
138	935	5792
139	947	5820
140	961	5860
141	969	5855
142	975	5846
143	980	5828
144	987	5820
145	992	5806
146	997	5789
147	1003	5777
148	1008	5762
149	1013	5741
150	1019	5731
151	1024	5714
152	1028	5695
153	1033	5679
154	1038	5660
155	1044	5648
156	1051	5646
157	1056	5629
158	1060	5610
159	1064	5590
160	1068	5570
161	1073	5553
162	1077	5535
163	1084	5527
164	1089	5511
165	1093	5495
166	1101	5494
167	1107	5484
168	1113	5474
169	1119	5463
170	1125	5457
171	1132	5451
172	1139	5448
173	1146	5443
174	1154	5444
175	1162	5443
176	1169	5438
177	1175	5428
178	1183	5427
179	1189	5419
180	1195	5410
181	1201	5401
182	1212	5414
183	1220	5410
184	1225	5399
185	1231	5388
186	1237	5379
187	1243	5370
188	1248	5359
189	1253	5344
190	1258	5328
191	1262	5313
192	1266	5296
193	1270	5279
194	1275	5267
195	1280	5254
196	1285	5240
197	1289	5224
198	1293	5207
199	1297	5191
200	1301	5174
201	1305	5157
202	1310	5146
203	1315	5132
204	1319	5115
205	1323	5101
206	1327	5086
207	1332	5073
